JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPay&Benefits,Year,Agency
Public Works Maintenance I,52659.46,4356.45,5142.93,24221.43,62158.84,86380.27,2014,Henderson
Parks & Facilities Maint II,55787.36,2030.43,3958.06,24564.01,61775.85,86339.86,2014,Henderson
Fire Fighter,48360.52,3853.19,5359.44,28733.08,57573.15,86306.23,2014,Henderson
Wastewater Facilities Oper I,58048.96,0,3256.21,24813.63,61305.17,86118.8,2014,Henderson
Supervising Court Support Spc,58530.22,785.2,1292.47,25457.51,60607.89,86065.4,2014,Henderson
Meter Services Specialist II,57647.89,1016.43,2657.2,24710.34,61321.52,86031.86,2014,Henderson
Parks & Facilities Maint II,55787.37,2448.01,3427.59,24368.7,61662.97,86031.67,2014,Henderson
Animal Control Operations Supv,58357.36,993.82,1650.9,24892.99,61002.08,85895.07,2014,Henderson
Parks & Facilities Maint II,55787.39,1350.1,4253.29,24485.8,61390.78,85876.58,2014,Henderson
Land Development Plans Exam I,58766.3,0,2097.19,24998.34,60863.49,85861.83,2014,Henderson
Sr Forensic Toxicologist,62461.51,0,2240,21077.26,64701.51,85778.77,2014,Henderson
Public Information Officer,58475.49,0,1156.73,26136.32,59632.22,85768.54,2014,Henderson
Fire Engineer,47138.74,0,13822.37,24787.71,60961.11,85748.82,2014,Henderson
Sr Kennel Attendant,57647.82,558.81,2645.9,24852.36,60852.53,85704.89,2014,Henderson
Parks & Facilities Maint II,55787.4,1879.98,3609.63,24346.99,61277.01,85624,2014,Henderson
Legal Assistant,58260.37,0,1165.21,26078.68,59425.58,85504.26,2014,Henderson
Utility Serviceperson I,52659.41,997.09,8198.27,23480.47,61854.77,85335.24,2014,Henderson
Meter Services Specialist II,57647.85,109.95,2866.68,24710.34,60624.48,85334.82,2014,Henderson
Parks & Facilities Maint II,55787.35,2922.91,2336.63,24231.25,61046.89,85278.14,2014,Henderson
Graphic Artist,57854.35,185.67,1229.22,25970.22,59269.24,85239.46,2014,Henderson
Victim/Witness Advocate,58052.54,0,1161.05,26023.05,59213.59,85236.64,2014,Henderson
Water Systems Technician,56490.55,1544.26,2642.36,24412.34,60677.17,85089.51,2014,Henderson
Parks & Facilities Maint II,55787.36,1901.26,3096.77,24289.12,60785.39,85074.51,2014,Henderson
Meter Services Specialist II,57647.81,0,2675.58,24710.34,60323.39,85033.73,2014,Henderson
Fire Fighter/Paramedic,47733.7,2289.55,6153.99,28844.53,56177.24,85021.77,2014,Henderson
Fingerprint Technician,58038.61,582.42,1459.82,24810.95,60080.85,84891.8,2014,Henderson
Permit Technician,57683.42,819.12,1574.2,24719.45,60076.74,84796.19,2014,Henderson
Parks & Facilities Maint II,55787.31,1605.25,3099.09,24297,60491.65,84788.65,2014,Henderson
Parks & Facilities Maint II,55787.38,442.45,4097.27,24368.7,60327.1,84695.8,2014,Henderson
Parks & Facilities Maint II,55787.32,1460.3,3133.97,24303.58,60381.59,84685.17,2014,Henderson
Fire Fighter,47458.53,3252.83,5257.76,28631.63,55969.12,84600.75,2014,Henderson
Employee Benefits Assistant,56614.82,0,2326.81,25638.71,58941.63,84580.34,2014,Henderson
Graffiti Removal Painter,54467.69,3361.17,2824.34,23891.4,60653.2,84544.6,2014,Henderson
Parks & Facilities Maint II,55787.34,1299.82,3173.02,24231.25,60260.18,84491.43,2014,Henderson
Fire Fighter,47458.53,2711.9,5589.13,28730.11,55759.56,84489.67,2014,Henderson
Parks & Facilities Maint II,55787.36,1204.94,3086.92,24347.57,60079.22,84426.79,2014,Henderson
Parks & Facilities Maint II,55787.38,994.25,3383.44,24231.26,60165.07,84396.33,2014,Henderson
Customer Service Manager,60807.69,0,2040,21509.97,62847.69,84357.66,2014,Henderson
Public Works Maintenance I,52659.42,1618.79,6191.04,23837.5,60469.25,84306.75,2014,Henderson
Court Support Specialist,57178.89,246.77,2177.34,24589.62,59603,84192.62,2014,Henderson
Fire Fighter,47458.51,2542.41,5402.31,28733.07,55403.23,84136.3,2014,Henderson
Utility Serviceperson I,46592.55,5372.01,10223.32,21863.58,62187.88,84051.46,2014,Henderson
Customer Service Specialist,57414.39,135.97,1790.6,24650.26,59340.96,83991.22,2014,Henderson
Communications Operator I,56993.08,529.3,1790.21,24671.07,59312.59,83983.66,2014,Henderson
Parks & Facilities Maint II,53612.31,1822.94,4396.23,24137.21,59831.48,83968.69,2014,Henderson
Utility Inventory Control Tech,52979.3,1119.87,6320.25,23508.15,60419.42,83927.57,2014,Henderson
Animal Control Officer,56199.26,1157.86,2120.26,24433.05,59477.38,83910.43,2014,Henderson
Permit Technician,57683.39,0,1477.94,24719.45,59161.33,83880.78,2014,Henderson
Parks & Facilities Maint II,55787.3,170.24,3538.55,24368.69,59496.09,83864.78,2014,Henderson
Fire Fighter,47458.53,2819.67,5257.73,28327.21,55535.93,83863.14,2014,Henderson
Parks & Facilities Maint II,55787.37,400.31,3302.37,24289.7,59490.05,83779.75,2014,Henderson
Utility Serviceperson I,52659.44,3685.64,3305.82,24123.32,59650.9,83774.22,2014,Henderson
Fire Fighter/Paramedic,47458.53,1591.32,6032.4,28631.63,55082.25,83713.88,2014,Henderson
Fire Fighter/Paramedic,47458.53,1384.07,6009.42,28631.63,54852.02,83483.65,2014,Henderson
Parks & Facilities Maint II,55787.37,338.79,3074.14,24275.09,59200.3,83475.39,2014,Henderson
Parks & Facilities Maint II,53612.29,2117.69,3789.27,23913.61,59519.25,83432.86,2014,Henderson
Parks & Facilities Maint II,55787.4,888.91,2482.25,24231.26,59158.56,83389.82,2014,Henderson
Parks & Facilities Maint II,55354.67,741.42,3159.96,24119.84,59256.05,83375.89,2014,Henderson
Court Clerk II,56859.37,517.09,1472.7,24507.33,58849.16,83356.49,2014,Henderson
Parks & Facilities Maint II,55787.34,974.87,2329.89,24231.26,59092.1,83323.36,2014,Henderson
Parks & Facilities Maint II,55787.32,0,3142.12,24368.69,58929.44,83298.13,2014,Henderson
Fire Fighter,47458.53,2656.62,4815.13,28327.21,54930.28,83257.49,2014,Henderson
Parks & Facilities Maint II,55787.38,404.32,2687.17,24289.69,58878.87,83168.56,2014,Henderson
Utility Serviceperson I,45020.5,9720.09,6884.38,21458.76,61624.97,83083.73,2014,Henderson
Operations Customer Svc Spec,54737.51,847.69,3517.63,23960.94,59102.83,83063.77,2014,Henderson
Accounting Technician,56326.65,0,1126.53,25561.8,57453.18,83014.98,2014,Henderson
Alt Sentencing Admin Clerk,56859.38,314.5,1333.38,24507.36,58507.26,83014.62,2014,Henderson
Public Relations Coordinator,56324.8,0,1126.5,25561.28,57451.3,83012.58,2014,Henderson
Recreation Program Coordinator,54484.9,1157.59,2136.57,25069.09,57779.06,82848.15,2014,Henderson
Wastewater Facilities Oper I,54658.86,318.11,3818.91,24020.71,58795.88,82816.59,2014,Henderson
Parks & Facilities Maint II,55787.35,170.24,2598.54,24231.25,58556.13,82787.38,2014,Henderson
Graphic Artist,56007.46,0,1229.22,25476.48,57236.68,82713.16,2014,Henderson
Parks & Facilities Maint II,55787.35,223.34,2464.66,24231.25,58475.35,82706.6,2014,Henderson
Parks & Facilities Maint II,55787.34,0,2605.56,24231.26,58392.9,82624.16,2014,Henderson
Parks & Facilities Maint II,55787.34,0,2599.94,24231.25,58387.28,82618.53,2014,Henderson
Parks & Facilities Maint II,55787.37,0,2597.69,24231.26,58385.06,82616.32,2014,Henderson
Parks & Facilities Maint II,52913.78,2227.52,3729.25,23671.4,58870.55,82541.95,2014,Henderson
Parks & Facilities Maint II,55787.37,168.55,2306.43,24231.25,58262.35,82493.6,2014,Henderson
Parks & Facilities Maint II,55787.39,0,2460.2,24231.26,58247.59,82478.85,2014,Henderson
Parks & Facilities Maint II,55787.35,0,2460.19,24231.26,58247.54,82478.8,2014,Henderson
Parks & Facilities Maint II,55787.36,0,2460.19,24231.25,58247.55,82478.8,2014,Henderson
Administrative Assistant III,54979.3,1931.46,1501.36,24023.21,58412.12,82435.33,2014,Henderson
Executive Administrative Asst,55809.18,1111.37,1265.26,24236.93,58185.81,82422.74,2014,Henderson
Fire Fighter/Paramedic,47733.71,718.53,5531.69,28438.66,53983.93,82422.59,2014,Henderson
Parks & Facilities Maint II,55787.36,0,2298.57,24231.25,58085.93,82317.18,2014,Henderson
Parks & Facilities Maint II,55787.4,0,2295.2,24231.26,58082.6,82313.86,2014,Henderson
Parks & Facilities Maint II,55787.4,0,2295.19,24231.26,58082.59,82313.85,2014,Henderson
Parks & Facilities Maint II,53612.29,1531.36,3305.57,23858.2,58449.22,82307.42,2014,Henderson
Utility Serviceperson I,52659.39,769.79,5347.46,23494.79,58776.64,82271.43,2014,Henderson
Fire Fighter,47458.53,756.76,5419.91,28631.63,53635.2,82266.83,2014,Henderson
Neighborhood Respns Maint Wrkr,54794.41,20.9,3456.71,23975.51,58272.02,82247.53,2014,Henderson
Public Works Maintenance I,52659.41,844.77,5240.67,23474.09,58744.85,82218.94,2014,Henderson
Fire Fighter,47458.53,1321.89,4897.1,28530.15,53677.52,82207.67,2014,Henderson
Parks & Facilities Maint II,53430.02,1409.83,3444.01,23868,58283.86,82151.86,2014,Henderson
Parks & Facilities Maint II,53612.34,1445.11,3291.51,23802.77,58348.96,82151.73,2014,Henderson
Fire Fighter/Paramedic,47458.53,1045.54,5318.43,28327.21,53822.5,82149.71,2014,Henderson
Meter Services Specialist I,51670.37,4218.12,3041.53,23171.1,58930.02,82101.12,2014,Henderson
Fire Fighter,47458.52,994.88,4954.13,28533.12,53407.53,81940.65,2014,Henderson
Administrative Assistant III,54979.25,602.17,2330.18,24023.25,57911.6,81934.85,2014,Henderson
GIS Technician,53744.22,0,4032.64,23705.14,57776.86,81482,2014,Henderson
Housing Specialist II,54283.27,0,2102.55,25015.48,56385.82,81401.3,2014,Henderson
Sr GIS Analyst,56272.74,0,3020.95,22047.3,59293.69,81340.99,2014,Henderson
Police Admin Specialist III,54979.26,595.23,1724.74,24023.26,57299.23,81322.49,2014,Henderson
Cultural Arts Outreach Rep,54979.24,996.66,1279.05,24023.26,57254.95,81278.21,2014,Henderson
Recreation Program Coordinator,54880.4,0,1089.23,25170.92,55969.63,81140.55,2014,Henderson
Administrative Assistant III,54979.23,797.33,1302.14,24023.26,57078.7,81101.96,2014,Henderson
Court Support Specialist,53912.22,1206.79,2219.47,23748.45,57338.48,81086.93,2014,Henderson
Crime Scene Technician,54402.77,1287.93,1424.17,23874.77,57114.87,80989.64,2014,Henderson
Fire Fighter,47458.52,685.37,4418.2,28327.2,52562.09,80889.29,2014,Henderson
City Attorney Investigator,54646.73,0,1092.93,25112.52,55739.66,80852.18,2014,Henderson
Utility Serviceperson I,52659.4,1968.88,2787.64,23425.83,57415.92,80841.75,2014,Henderson
Police Admin Specialist III,54979.3,0,1424.11,24413.26,56403.41,80816.67,2014,Henderson
Water Facilities Operator I,54532.34,0,2368.91,23908.08,56901.25,80809.33,2014,Henderson
Meter Services Specialist I,51670.47,3355.48,2597.08,23171.1,57623.03,80794.13,2014,Henderson
Police Admin Specialist III,54979.25,380.67,1266.73,24023.26,56626.65,80649.91,2014,Henderson
Police Admin Specialist III,54979.32,0,1561.61,24023.26,56540.93,80564.19,2014,Henderson
Administrative Assistant III,54979.32,0,1561.61,24023.26,56540.93,80564.19,2014,Henderson
Administrative Assistant III,54979.24,0,1559.98,24023.26,56539.22,80562.48,2014,Henderson
Police Admin Specialist III,54979.27,0,1557.04,24023.26,56536.31,80559.57,2014,Henderson
Utility Serviceperson I,52659.43,1747.52,2675.18,23425.84,57082.13,80507.97,2014,Henderson
Administrative Assistant III,54874.49,0,1561.62,23996.25,56436.11,80432.36,2014,Henderson
Administrative Assistant III,54979.23,0,1428.26,24023.26,56407.49,80430.75,2014,Henderson
Administrative Assistant III,54979.31,0,1424.11,24023.26,56403.42,80426.68,2014,Henderson
Police Admin Specialist III,54979.29,0,1424.11,24023.25,56403.4,80426.65,2014,Henderson
Police Admin Specialist III,54979.25,0,1424.11,24023.26,56403.36,80426.62,2014,Henderson
HR Analyst I,54096.5,149.37,1179.99,24965.48,55425.86,80391.34,2014,Henderson
Kennel Attendant,52659.41,1829.67,2434.55,23425.84,56923.63,80349.47,2014,Henderson
Court Support Specialist,53585.27,714.88,2363.98,23664.23,56664.13,80328.36,2014,Henderson
Code Enforcement Specialist,54979.24,0,1278.45,24023.25,56257.69,80280.94,2014,Henderson
Police Admin Specialist III,54979.29,0,1259.11,24023.26,56238.4,80261.66,2014,Henderson
Administrative Assistant III,54979.31,0,1246.67,24023.27,56225.98,80249.25,2014,Henderson
Court Support Specialist,53912.19,81.44,2506.91,23748.44,56500.54,80248.98,2014,Henderson
Supervising Business Lic Tech,54551.51,0,1247.5,24433.08,55799.01,80232.09,2014,Henderson
Court Support Specialist,53912.21,898.33,1662.39,23748.45,56472.93,80221.38,2014,Henderson
Parks & Facilities Maint II,50624.33,2233.85,4060.68,23245.97,56918.86,80164.83,2014,Henderson
Parks & Facilities Maint II,51802.99,869.09,3948.8,23524.13,56620.88,80145.01,2014,Henderson
Passport & Election Svs Spec,53912.26,0,2482.08,23748.45,56394.34,80142.79,2014,Henderson
Court Support Specialist,53912.19,869.33,1561,23748.43,56342.52,80090.95,2014,Henderson
Court Support Specialist,53912.21,857.2,1559.94,23748.44,56329.35,80077.79,2014,Henderson
Law Enforcement Support Spc,53912.22,841.92,1545.28,23748.45,56299.42,80047.87,2014,Henderson
Custodian Supervisor,53852.25,0,2439.5,23732.97,56291.75,80024.72,2014,Henderson
Recreation Program Coordinator,53866.42,204.86,1043.06,24898.93,55114.34,80013.27,2014,Henderson
Police Admin Specialist III,54448.69,0,1538.58,23886.63,55987.27,79873.9,2014,Henderson
Sr Accounting Clerk,54403.24,0,1550.15,23874.81,55953.39,79828.2,2014,Henderson
Police Officer,43032.98,2241.39,9044.81,25475.59,54319.18,79794.77,2014,Henderson
Law Enforcement Support Spc,53912.2,348.78,1774.57,23748.43,56035.55,79783.98,2014,Henderson
Court Support Specialist,53912.21,0,1556.33,24268.45,55468.54,79736.99,2014,Henderson
Councilmember,49677.19,0,6700,23291.84,56377.19,79669.03,2014,Henderson
Court Support Specialist,53912.23,531.42,1457.41,23748.46,55901.06,79649.52,2014,Henderson
Court Support Specialist,53912.22,205.64,1634.87,23748.46,55752.73,79501.19,2014,Henderson
Court Support Specialist,53912.21,205.64,1543.65,23748.44,55661.5,79409.94,2014,Henderson
Law Enforcement Support Spc,53912.2,162.89,1549.95,23748.44,55625.04,79373.48,2014,Henderson
Archives And Records Tech II,53912.16,164.51,1532.79,23748.43,55609.46,79357.89,2014,Henderson
Law Enforcement Support Spc,53912.21,450.79,1242.34,23748.45,55605.34,79353.79,2014,Henderson
Archives And Records Tech II,53912.16,287.9,1402.89,23748.42,55602.95,79351.37,2014,Henderson
Law Enforcement Support Spc,53912.21,0,1656.48,23748.44,55568.69,79317.13,2014,Henderson
Business License Tech,53912.2,226.2,1406.15,23748.43,55544.55,79292.98,2014,Henderson
Accounting Clerk,53912.24,0,1625.46,23748.44,55537.7,79286.14,2014,Henderson
Permit Technician w/o Cert,54216.52,40.95,1200.12,23826.71,55457.59,79284.3,2014,Henderson
Customer Service Specialist,53912.2,205.64,1406.39,23759.02,55524.23,79283.25,2014,Henderson
Court Support Specialist,53912.18,162.89,1412.66,23748.44,55487.73,79236.17,2014,Henderson
Department Records Clerk,53912.23,33.94,1541.07,23748.45,55487.24,79235.69,2014,Henderson
Archives And Records Tech II,53912.24,164.51,1402.89,23748.45,55479.64,79228.09,2014,Henderson
Court Support Specialist,53912.18,20.56,1540.39,23748.41,55473.13,79221.54,2014,Henderson
Customer Service Specialist,53912.2,0,1544.79,23748.44,55456.99,79205.43,2014,Henderson
Accounting Clerk,53912.26,0,1540.39,23748.45,55452.65,79201.1,2014,Henderson
Customer Service Specialist,53912.23,0,1540.39,23748.46,55452.62,79201.08,2014,Henderson
Court Support Specialist,53912.24,0,1540.39,23748.45,55452.63,79201.08,2014,Henderson
Accounting Clerk,53912.23,0,1540.39,23748.45,55452.62,79201.07,2014,Henderson
Meter Services Specialist I,48653.43,4047.91,4054.92,22394.27,56756.26,79150.53,2014,Henderson
Court Support Specialist,53912.25,0,1451.9,23748.45,55364.15,79112.6,2014,Henderson
Kennel Attendant,52659.39,474.39,2537.44,23425.84,55671.22,79097.06,2014,Henderson
Court Support Specialist,53912.19,0,1403.15,23748.44,55315.34,79063.78,2014,Henderson
Passport & Election Svs Spec,53912.27,0,1402.89,23748.44,55315.16,79063.6,2014,Henderson
Accounting Clerk,53912.24,0,1402.89,23748.46,55315.13,79063.59,2014,Henderson
Legal Support Specialist,53912.24,0,1402.89,23748.45,55315.13,79063.58,2014,Henderson
Customer Service Specialist,53912.22,0,1402.89,23748.45,55315.11,79063.56,2014,Henderson
Court Support Specialist,53912.21,0,1402.89,23748.44,55315.1,79063.54,2014,Henderson
Archives And Records Tech II,53912.22,0,1402.89,23748.43,55315.11,79063.54,2014,Henderson
Court Support Specialist,53912.2,0,1402.89,23748.43,55315.09,79063.52,2014,Henderson
Court Support Specialist,53912.2,0,1402.89,23748.42,55315.09,79063.51,2014,Henderson
Customer Service Specialist,53912.18,0,1402.89,23748.44,55315.07,79063.51,2014,Henderson
Customer Service Specialist,53912.17,0,1402.89,23748.43,55315.06,79063.49,2014,Henderson
Accounting Clerk,53912.18,0,1402.89,23748.42,55315.07,79063.49,2014,Henderson
Passport & Election Svs Spec,53912.17,0,1402.89,23748.43,55315.06,79063.49,2014,Henderson
Laboratory Assistant,49566.73,903.05,4227.22,24364.43,54697,79061.43,2014,Henderson
Pool Manager,50265.02,1568.61,3063.83,24124.28,54897.46,79021.74,2014,Henderson
Customer Service Specialist,53912.26,82.26,1244.12,23769.63,55238.64,79008.27,2014,Henderson
Wastewater Facilities Oper I,51454.84,940.66,3420.37,23187.91,55815.87,79003.78,2014,Henderson
Court Support Specialist,52622.68,40.72,2320.88,23936.39,54984.28,78920.67,2014,Henderson
Court Support Specialist,53912.2,16.46,1234.67,23748.45,55163.33,78911.78,2014,Henderson
Accounting Clerk,53912.19,12.22,1238.14,23748.45,55162.55,78911,2014,Henderson
Law Enforcement Support Spc,53912.2,0,1238.33,23748.44,55150.53,78898.97,2014,Henderson
Legal Support Specialist,53912.24,0,1237.89,23748.43,55150.13,78898.56,2014,Henderson
Customer Service Specialist,53912.21,0,1237.89,23748.41,55150.1,78898.51,2014,Henderson
Accounting Clerk,53912.19,0,1230.66,23748.44,55142.85,78891.29,2014,Henderson
Meter Services Specialist I,51670.32,1470.8,2546.61,23171.1,55687.73,78858.83,2014,Henderson
Court Support Specialist,40939.47,0,19942.11,17968.95,60881.58,78850.53,2014,Henderson
Sales and Marketing Specialist,53922.82,0,0,24918.86,53922.82,78841.68,2014,Henderson
Wastewater Facilities Oper I,51833.7,0,3685.92,23285.45,55519.62,78805.07,2014,Henderson
Administrative Assistant II,51551.82,2464.78,1618.27,23167.37,55634.87,78802.24,2014,Henderson
Administrative Assistant III,53779.26,0,1249.7,23714.24,55028.96,78743.2,2014,Henderson
Councilmember,48866.61,0,6700,23083.09,55566.61,78649.7,2014,Henderson
Alt Sentencing Compl Enf Inv,52906.29,0,1078.48,24647.21,53984.77,78631.98,2014,Henderson
Facilities & Support Svs Tech,52659.42,0,2545.53,23425.85,55204.95,78630.8,2014,Henderson
Administrative Assistant II,53747.46,0,1160.25,23706.02,54907.71,78613.73,2014,Henderson
Court Support Specialist,53404.92,45.24,1544.05,23617.81,54994.21,78612.02,2014,Henderson
Legal Support Specialist,53396.44,0,1561.29,23615.63,54957.73,78573.36,2014,Henderson
Recreation Program Coordinator,52012.34,678.62,1377.8,24493.77,54068.76,78562.53,2014,Henderson
Councilmember,48704.5,0,6700,23041.35,55404.5,78445.85,2014,Henderson
Fire Fighter,44806.17,410.84,5782.47,27402.43,50999.48,78401.91,2014,Henderson
Archives And Records Tech II,52968.32,11.71,1789.59,23505.36,54769.62,78274.98,2014,Henderson
Meter Services Specialist I,51670.32,382.6,3019.69,23171.1,55072.61,78243.71,2014,Henderson
Accounting Clerk,53391.29,0,1237.89,23614.32,54629.18,78243.5,2014,Henderson
Court Support Specialist,52426.95,1058.3,1364.74,23365.95,54849.99,78215.94,2014,Henderson
Administrative Assistant III,53273.95,0,1355.9,23584.12,54629.85,78213.97,2014,Henderson
Parks & Facilities Maint II,52100.97,0,2604.86,23282.01,54705.83,77987.84,2014,Henderson
Court Support Specialist,53137.01,0,1225.4,23548.81,54362.41,77911.22,2014,Henderson
Parks & Facilities Maint II,51347.76,1189.81,2181.21,23088.04,54718.78,77806.82,2014,Henderson
Meter Services Specialist I,51670.34,390.48,2530.23,23171.1,54591.05,77762.15,2014,Henderson
Utility Line Locator,51006.56,785.24,2772.83,23131.57,54564.63,77696.2,2014,Henderson
Utility Svs Systms Electrician,51090.92,3470.83,2051.62,20989.4,56613.37,77602.77,2014,Henderson
Administrative Assistant III,52854.58,0,1189.19,23476.11,54043.77,77519.88,2014,Henderson
Facilities & Support Svs Tech,51630.05,38.1,2508.17,23160.74,54176.32,77337.06,2014,Henderson
Administrative Assistant II,51551.82,983.07,1579.02,23140.61,54113.91,77254.52,2014,Henderson
Police Officer,48674.04,0,1374.54,27198.59,50048.58,77247.17,2014,Henderson
Asst Cook-Senior Facility,48949.84,2630.33,2961.85,22470.57,54542.02,77012.59,2014,Henderson
Customer Service Specialist,52426.95,0,1185.59,23365.95,53612.54,76978.49,2014,Henderson
Administrative Assistant II,51551.81,0,1858.63,23140.64,53410.44,76551.08,2014,Henderson
Meter Services Specialist I,47223.94,2775.92,4331.08,22026.21,54330.94,76357.15,2014,Henderson
Administrative Assistant II,51551.81,157.31,1493.4,23140.61,53202.52,76343.13,2014,Henderson
Recreation Program Coordinator,51100.62,0,1043.06,24157.57,52143.68,76301.25,2014,Henderson
Meter Services Specialist I,50487.79,370.77,2548.09,22866.59,53406.65,76273.24,2014,Henderson
Administrative Assistant II,51551.88,0,1493.4,23140.64,53045.28,76185.92,2014,Henderson
Police Admin Specialist II,51551.85,0,1493.4,23140.62,53045.25,76185.87,2014,Henderson
Administrative Assistant II,51551.81,0,1493.4,23140.61,53045.21,76185.82,2014,Henderson
Administrative Assistant II,51551.84,0,1355.9,23140.64,52907.74,76048.38,2014,Henderson
Administrative Assistant II,51551.82,0,1355.9,23140.62,52907.72,76048.34,2014,Henderson
Legal Support Specialist,51460.72,0,1468.93,23117.14,52929.65,76046.79,2014,Henderson
Administrative Assistant II,51551.78,38.94,1192.46,23140.61,52783.18,75923.79,2014,Henderson
Police Admin Specialist II,51551.83,0,1190.9,23140.64,52742.73,75883.37,2014,Henderson
Administrative Assistant II,51551.82,0,1190.9,23140.62,52742.72,75883.34,2014,Henderson
Police Admin Specialist II,51551.85,0,1184.37,23140.62,52736.22,75876.84,2014,Henderson
Court Support Specialist,51460.72,0,1166.43,23117.14,52627.15,75744.29,2014,Henderson
Administrative Assistant II,49429.62,747.47,2933.74,22594.1,53110.83,75704.93,2014,Henderson
Technical Support Specialist,49398.39,431.24,1937.94,23709.05,51767.57,75476.62,2014,Henderson
Utility Serviceperson I,46592.53,4415.49,2427.48,21863.58,53435.5,75299.08,2014,Henderson
Classification Technician,49734.43,0,1716.74,23780.18,51451.17,75231.35,2014,Henderson
Meter Services Specialist I,48403.1,1883.69,2533.36,22329.84,52820.15,75149.99,2014,Henderson
Administrative Assistant II,49429.63,0,3065.25,22594.1,52494.88,75088.98,2014,Henderson
Recreation Program Coordinator,49277.65,702.24,1413.67,23672.27,51393.56,75065.83,2014,Henderson
Meter Services Specialist I,47057.05,3756.86,2186.43,21983.23,53000.34,74983.57,2014,Henderson
Business Operations Analyst,52307.67,0,3334.62,19237.19,55642.29,74879.48,2014,Henderson
Corrections Officer,36092.07,5854.85,12715.84,20143.06,54662.76,74805.82,2014,Henderson
Administrative Assistant III,50483.78,0,1450.06,22865.55,51933.84,74799.39,2014,Henderson
Sr Legal Assistant,50620.24,0,0,24035.74,50620.24,74655.98,2014,Henderson
Administrative Assistant III,50606.68,0,1142.73,22897.22,51749.41,74646.63,2014,Henderson
Meter Services Specialist I,46639.83,2393.13,3423.46,21875.78,52456.42,74332.2,2014,Henderson
Utility Serviceperson II-Cert,31639.8,14069.83,11799.18,16798.65,57508.81,74307.46,2014,Henderson
Administrative Assistant II,50208.5,0,1125.87,22794.71,51334.37,74129.08,2014,Henderson
Legal Support Specialist,49799.19,149.13,1301.33,22689.25,51249.65,73938.9,2014,Henderson
Meter Services Specialist I,46639.82,1284.15,4099.74,21875.78,52023.71,73899.49,2014,Henderson
Meter Services Specialist I,48403.14,488.45,2526.5,22329.84,51418.09,73747.93,2014,Henderson
Police Admin Specialist II,49457.48,37.29,1415.85,22601.3,50910.62,73511.92,2014,Henderson
Meter Services Specialist I,46639.81,2490.79,2468.71,21875.78,51599.31,73475.09,2014,Henderson
Legal Support Specialist,47788.61,2518.22,923.84,22171.51,51230.67,73402.18,2014,Henderson
Police Admin Specialist II,49457.51,0,1276.19,22601.3,50733.7,73335,2014,Henderson
Recreation Program Coordinator,48418.8,1225.94,0,23603.21,49644.74,73247.95,2014,Henderson
Archives And Records Tech II,49447.46,0,1106.81,22598.67,50554.27,73152.94,2014,Henderson
Legal Assistant,49295.22,150.69,0,23681.57,49445.91,73127.48,2014,Henderson
Systems Support Analyst,50331.7,0,1333.84,21333.73,51665.54,72999.27,2014,Henderson
Law Enforcement Support Spc,47571.47,321.96,1375.62,23521.22,49269.05,72790.27,2014,Henderson
Constituent Services Assistant,47723.89,622.55,933.85,23261.48,49280.29,72541.77,2014,Henderson
Print and Mail Center Coord,48122.26,0,2120.91,22257.45,50243.17,72500.62,2014,Henderson
Business License Tech,39325.31,0,16108.34,17036.82,55433.65,72470.47,2014,Henderson
Custodian,47618.34,0,2442.34,22127.74,50060.68,72188.42,2014,Henderson
Custodian,47618.35,0,2435.12,22127.75,50053.47,72181.22,2014,Henderson
Recreation Prog Coord-Ther Svs,47798.08,0,1043.06,23281.22,48841.14,72122.36,2014,Henderson
Custodian,47618.35,0,2297.62,22127.75,49915.97,72043.72,2014,Henderson
Custodian,47618.34,0,2297.62,22127.75,49915.96,72043.71,2014,Henderson
Lead Hazard/Healthy Homes Spec,47760.09,0,955.2,23271.2,48715.29,71986.49,2014,Henderson
Custodian,47460.92,0,2435.81,22087.19,49896.73,71983.92,2014,Henderson
Customer Service Specialist,48228.28,0,1463.29,22284.73,49691.57,71976.3,2014,Henderson
Visual Communications Tech,47046.06,0,1845.65,23080.1,48891.71,71971.81,2014,Henderson
Custodian,47618.35,0,2132.62,22127.77,49750.97,71878.74,2014,Henderson
Police Officer,48201.62,257.14,4191.42,19168.78,52650.18,71818.96,2014,Henderson
Custodian,47438.53,0,2294.02,22081.46,49732.55,71814.01,2014,Henderson
Law Enforcement Support Spc,47964.49,328.45,1271.21,22216.8,49564.15,71780.95,2014,Henderson
Meter Services Specialist I,46639.83,71.49,3048.45,21875.78,49759.77,71635.55,2014,Henderson
Court Support Specialist,47700.75,481.37,1275.32,22148.93,49457.44,71606.37,2014,Henderson
Facilities Maintenance Asst,42436.59,4241.03,4119.1,20793.4,50796.72,71590.12,2014,Henderson
Housing Specialist I,47530.46,652.6,1873.66,21459.79,50056.72,71516.51,2014,Henderson
Legal Assistant,40894.34,0,11544.17,18819.49,52438.51,71258,2014,Henderson
Recreation Program Coordinator,46463.93,1745.92,0,23036.84,48209.85,71246.69,2014,Henderson
Custodian Supervisor,46698.12,0,2389.31,21890.74,49087.43,70978.17,2014,Henderson
Alt Sentencing Admin Clerk,47530.23,72.1,1244.67,22105.04,48847,70952.04,2014,Henderson
Administrative Assistant II,47113.58,338.67,1390.41,21997.72,48842.66,70840.38,2014,Henderson
